Frequency (Hz)	Level (dB)
5765.625000	-38.462013
5781.250000	-37.237141
5796.875000	-36.042255
5812.500000	-35.560345
5828.125000	-35.671223
5843.750000	-36.633785
5859.375000	-38.168598
5875.000000	-39.652908
5890.625000	-40.801876
5906.250000	-41.624535
5921.875000	-42.018387
5937.500000	-41.974876
5953.125000	-41.726345
5968.750000	-41.439289
5984.375000	-40.824509
6000.000000	-39.689030
6015.625000	-38.399990
6031.250000	-37.556843
6046.875000	-37.460854
6062.500000	-38.347610
6078.125000	-39.979740
6093.750000	-41.489620
6109.375000	-42.767570
6125.000000	-43.502022
6140.625000	-44.192436
6156.250000	-44.490814
6171.875000	-44.150002
6187.500000	-43.588268
6203.125000	-42.894447
6218.750000	-41.991879
6234.375000	-40.579067
6250.000000	-39.728180
6265.625000	-39.554310
6281.250000	-40.431820
6296.875000	-41.995846
6312.500000	-43.739784
6328.125000	-45.183952
6343.750000	-45.767036
6359.375000	-46.713711
6375.000000	-47.006416
6390.625000	-46.910412
6406.250000	-46.459328
6421.875000	-45.730274
6437.500000	-44.583759
6453.125000	-43.620472
6468.750000	-42.346542
6484.375000	-42.081486
6500.000000	-42.925896
6515.625000	-44.579029
6531.250000	-46.221535
6546.875000	-47.825897
6562.500000	-49.059723
6578.125000	-49.644196
6593.750000	-49.981037
6609.375000	-50.095734
6625.000000	-49.793682
6640.625000	-49.195065
6656.250000	-48.491013
6671.875000	-47.778824
6687.500000	-46.587551
6703.125000	-46.287247
6718.750000	-47.199776
6734.375000	-48.699657
6750.000000	-50.244881
6765.625000	-51.772381
6781.250000	-53.120506
6796.875000	-53.695187
6812.500000	-54.228462
6828.125000	-54.618935
6843.750000	-54.750076
6859.375000	-54.268688
6875.000000	-53.520443
6890.625000	-52.574120
6906.250000	-51.648533
6921.875000	-51.547241
6937.500000	-52.320286
6953.125000	-53.866344
6968.750000	-55.675091
6984.375000	-57.126999
7000.000000	-58.442917
7015.625000	-59.680111
7031.250000	-60.440735
7046.875000	-60.835735
7062.500000	-60.984898
7078.125000	-60.897751
7093.750000	-60.293221
7109.375000	-59.771408
7125.000000	-59.168812
7140.625000	-58.994171
7156.250000	-59.566753
7171.875000	-60.954998
7187.500000	-62.715576
7203.125000	-64.612610
7218.750000	-66.286591
7234.375000	-67.290237
7250.000000	-68.199524
7265.625000	-68.800652
7281.250000	-69.316147
7296.875000	-69.301903
7312.500000	-68.829430
7328.125000	-68.506752
7343.750000	-68.016563
7359.375000	-67.931519
7375.000000	-68.543648
7390.625000	-70.276299
7406.250000	-72.156342
7421.875000	-73.787369
7437.500000	-75.387589
7453.125000	-76.634346
7468.750000	-77.737061
7484.375000	-78.142105
7500.000000	-78.404579
7515.625000	-79.024200
7531.250000	-78.554390
7546.875000	-78.033424
7562.500000	-77.351105
7578.125000	-76.554306
7593.750000	-77.070557
7609.375000	-77.991112
7625.000000	-79.748085
7640.625000	-82.189644
7656.250000	-85.017273
7671.875000	-88.057854
7687.500000	-90.626152
7703.125000	-92.188347
7718.750000	-94.611671
7734.375000	-97.706802
7750.000000	-99.369247
7765.625000	-101.309914
7781.250000	-103.039436
7796.875000	-104.802422
7812.500000	-108.075218
7828.125000	-113.381714
7843.750000	-119.550735
7859.375000	-125.800468
7875.000000	-133.454987
7890.625000	-140.445343
7906.250000	-147.231903
7921.875000	-152.475449
7937.500000	-154.063995
7953.125000	-154.524612
7968.750000	-154.668121
7984.375000	-154.789902
