Frequency (Hz)	Level (dB)
2718.750000	-42.682098
2734.375000	-43.273140
2750.000000	-43.376461
2765.625000	-43.330086
2781.250000	-43.639145
2796.875000	-43.158886
2812.500000	-42.106220
2828.125000	-40.734196
2843.750000	-39.363667
2859.375000	-37.443710
2875.000000	-34.557560
2890.625000	-31.283138
2906.250000	-29.034363
2921.875000	-29.409637
2937.500000	-31.804537
2953.125000	-34.511364
2968.750000	-36.904003
2984.375000	-38.783409
3000.000000	-39.802349
3015.625000	-40.623489
3031.250000	-41.224216
3046.875000	-41.375992
3062.500000	-41.333508
3078.125000	-40.994122
3093.750000	-40.248276
3109.375000	-39.158482
3125.000000	-38.124222
3140.625000	-36.637772
3156.250000	-34.541336
3171.875000	-31.622032
3187.500000	-28.786446
3203.125000	-27.425943
3218.750000	-28.685629
3234.375000	-31.524555
3250.000000	-33.909981
3265.625000	-35.986710
3281.250000	-37.484840
3296.875000	-38.619083
3312.500000	-39.403526
3328.125000	-39.879456
3343.750000	-39.913139
3359.375000	-39.825638
3375.000000	-39.459961
3390.625000	-39.059666
3406.250000	-38.081249
3421.875000	-36.852509
3437.500000	-35.359505
3453.125000	-33.261837
3468.750000	-30.406750
3484.375000	-27.875589
3500.000000	-27.215883
3515.625000	-29.169121
3531.250000	-31.870068
3546.875000	-34.323067
3562.500000	-36.311867
3578.125000	-37.558567
3593.750000	-38.577965
3609.375000	-39.135849
3625.000000	-39.555424
3640.625000	-39.782455
3656.250000	-40.004639
3671.875000	-39.761124
3687.500000	-38.943085
3703.125000	-37.974796
3718.750000	-36.921154
3734.375000	-35.327946
3750.000000	-33.127628
3765.625000	-30.233837
3781.250000	-27.981264
3796.875000	-28.364582
3812.500000	-30.898788
3828.125000	-33.700882
3843.750000	-35.769547
3859.375000	-37.570347
3875.000000	-38.959057
3890.625000	-39.721432
3906.250000	-40.419563
3921.875000	-40.479504
3937.500000	-40.300583
3953.125000	-40.477150
3968.750000	-40.261395
3984.375000	-39.420654
4000.000000	-38.295876
4015.625000	-36.954155
4031.250000	-34.906822
4046.875000	-32.481518
4062.500000	-29.639214
4078.125000	-28.613277
4093.750000	-30.148005
4109.375000	-32.842594
4125.000000	-35.585442
4140.625000	-37.586868
4156.250000	-38.920921
4171.875000	-39.976685
4187.500000	-40.878311
4203.125000	-41.260540
4218.750000	-41.378319
4234.375000	-41.330967
4250.000000	-41.002995
4265.625000	-40.480625
4281.250000	-39.708599
4296.875000	-38.340446
4312.500000	-36.770554
4328.125000	-34.401157
4343.750000	-31.902748
4359.375000	-29.692060
4375.000000	-29.677057
4390.625000	-31.859106
4406.250000	-34.694790
4421.875000	-36.872257
4437.500000	-38.680119
4453.125000	-39.979229
4468.750000	-40.927361
4484.375000	-41.598614
4500.000000	-41.770481
4515.625000	-42.040741
4531.250000	-41.734783
4546.875000	-41.155521
4562.500000	-40.462208
4578.125000	-39.622311
4593.750000	-38.085358
4609.375000	-36.232738
4625.000000	-33.754704
4640.625000	-31.114031
4656.250000	-30.043421
4671.875000	-31.378675
4687.500000	-33.822880
4703.125000	-36.170067
4718.750000	-38.062515
4734.375000	-39.569336
4750.000000	-40.501297
4765.625000	-41.273262
4781.250000	-41.645557
4796.875000	-41.788673
4812.500000	-41.604904
4828.125000	-41.287289
4843.750000	-40.647686
4859.375000	-39.694019
4875.000000	-38.594048
4890.625000	-37.007549
4906.250000	-34.993618
4921.875000	-32.582382
4937.500000	-30.856133
4953.125000	-30.640268
4968.750000	-32.521732
4984.375000	-34.876778
5000.000000	-36.883831
5015.625000	-38.563652
5031.250000	-39.666569
5046.875000	-40.277615
5062.500000	-40.914928
5078.125000	-41.297432
5093.750000	-41.239147
5109.375000	-41.087860
5125.000000	-40.760403
5140.625000	-39.863205
5156.250000	-38.551258
5171.875000	-37.195213
5187.500000	-35.394634
5203.125000	-33.225140
