Frequency (Hz)	Level (dB)
1734.375000	-37.853550
1750.000000	-39.768204
1765.625000	-43.374115
1781.250000	-46.157085
1796.875000	-47.806007
1812.500000	-49.075859
1828.125000	-49.990311
1843.750000	-50.755089
1859.375000	-50.910694
1875.000000	-51.097298
1890.625000	-50.625957
1906.250000	-49.969807
1921.875000	-49.366177
1937.500000	-48.305748
1953.125000	-46.519135
1968.750000	-43.998802
1984.375000	-40.992786
2000.000000	-37.281281
2015.625000	-35.308983
2031.250000	-36.260025
2046.875000	-39.457466
2062.500000	-42.442490
2078.125000	-44.781765
2093.750000	-46.171230
2109.375000	-47.128201
2125.000000	-47.828911
2140.625000	-48.393082
2156.250000	-48.438763
2171.875000	-48.191898
2187.500000	-47.800125
2203.125000	-46.845219
2218.750000	-45.572548
2234.375000	-44.297489
2250.000000	-42.394623
2265.625000	-39.602150
2281.250000	-36.037762
2296.875000	-33.056358
2312.500000	-32.729500
2328.125000	-34.928818
2343.750000	-38.421864
2359.375000	-41.292187
2375.000000	-43.175335
2390.625000	-44.317745
2406.250000	-44.980595
2421.875000	-45.416382
2437.500000	-45.947308
2453.125000	-45.662800
2468.750000	-45.319641
2484.375000	-44.595146
2500.000000	-43.845917
2515.625000	-42.686340
2531.250000	-40.787144
2546.875000	-38.253239
2562.500000	-35.110260
2578.125000	-31.795879
2593.750000	-30.471518
2609.375000	-31.557138
2625.000000	-34.321754
2640.625000	-37.332966
2656.250000	-39.372311
2671.875000	-41.164616
2687.500000	-42.322716
2703.125000	-42.788792
2718.750000	-43.004864
2734.375000	-43.136295
2750.000000	-42.750610
2765.625000	-42.251400
2781.250000	-42.035641
2796.875000	-40.959015
2812.500000	-39.091000
2828.125000	-36.788906
2843.750000	-34.144642
2859.375000	-31.057352
2875.000000	-28.790720
2890.625000	-28.715397
2906.250000	-30.837952
2921.875000	-34.053978
2937.500000	-36.371948
2953.125000	-37.840919
2968.750000	-39.198875
2984.375000	-40.295486
3000.000000	-40.670853
3015.625000	-40.954079
3031.250000	-41.025528
3046.875000	-40.687809
3062.500000	-40.131569
3078.125000	-39.236961
3093.750000	-37.803936
3109.375000	-35.838940
3125.000000	-33.621433
3140.625000	-30.773300
3156.250000	-28.318378
3171.875000	-27.435181
3187.500000	-28.397589
3203.125000	-31.178600
3218.750000	-33.992104
3234.375000	-36.198330
3250.000000	-37.447865
3265.625000	-38.594097
3281.250000	-39.353970
3296.875000	-39.885227
3312.500000	-40.086109
3328.125000	-40.028919
3343.750000	-39.511822
3359.375000	-38.835129
3375.000000	-37.803577
3390.625000	-36.599998
3406.250000	-34.390079
3421.875000	-31.726183
3437.500000	-29.255501
3453.125000	-27.942839
3468.750000	-27.898779
3484.375000	-29.702824
3500.000000	-32.570244
3515.625000	-35.209435
3531.250000	-36.921902
3546.875000	-38.221642
3562.500000	-39.215073
3578.125000	-39.737797
3593.750000	-40.072136
3609.375000	-40.002338
3625.000000	-39.813152
3640.625000	-39.420151
3656.250000	-38.909149
3671.875000	-37.840355
3687.500000	-35.770256
3703.125000	-33.515255
3718.750000	-31.052355
3734.375000	-29.333809
3750.000000	-28.978432
3765.625000	-30.178034
3781.250000	-32.316681
3796.875000	-34.877048
3812.500000	-37.199272
3828.125000	-38.779327
3843.750000	-39.649887
3859.375000	-40.508625
3875.000000	-41.062401
3890.625000	-41.114689
3906.250000	-41.118034
3921.875000	-40.416767
3937.500000	-39.482479
3953.125000	-38.805313
3968.750000	-37.503395
3984.375000	-35.341328
4000.000000	-32.561508
4015.625000	-30.491991
4031.250000	-29.451605
4046.875000	-30.135021
4062.500000	-31.977922
4078.125000	-34.611099
4093.750000	-37.341686
4109.375000	-39.056313
4125.000000	-40.339714
4140.625000	-41.106983
4156.250000	-41.531696
4171.875000	-41.787479
4187.500000	-41.939957
4203.125000	-41.552097
4218.750000	-40.830456
4234.375000	-39.955292
4250.000000	-38.612617
4265.625000	-36.936619
4281.250000	-34.423130
4296.875000	-32.003170
4312.500000	-30.830513
4328.125000	-30.612026
4343.750000	-32.095081
4359.375000	-34.480522
4375.000000	-36.944641
4390.625000	-38.793011
4406.250000	-40.220860
4421.875000	-41.036709
4437.500000	-41.755257
4453.125000	-42.132202
4468.750000	-42.272461
4484.375000	-42.102104
4500.000000	-41.494671
4515.625000	-40.906219
4531.250000	-39.538586
4546.875000	-37.723179
4562.500000	-35.545490
4578.125000	-33.432178
4593.750000	-31.866970
4609.375000	-31.574455
4625.000000	-32.199780
4640.625000	-34.113628
4656.250000	-36.295036
4671.875000	-38.560295
4687.500000	-40.043530
4703.125000	-41.013832
4718.750000	-41.712017
4734.375000	-42.159702
4750.000000	-42.198524
4765.625000	-42.105541
4781.250000	-41.616653
4796.875000	-40.868397
4812.500000	-39.703819
4828.125000	-38.104843
4843.750000	-35.938137
4859.375000	-33.836033
4875.000000	-32.393246
4890.625000	-31.798279
4906.250000	-32.150711
4921.875000	-33.479355
4937.500000	-35.684486
4953.125000	-37.475052
4968.750000	-39.178452
4984.375000	-40.248489
5000.000000	-41.014885
5015.625000	-41.590786
5031.250000	-41.656536
5046.875000	-41.409649
5062.500000	-41.147633
5078.125000	-40.588726
5093.750000	-39.509174
5109.375000	-38.207088
5125.000000	-36.630562
5140.625000	-34.650230
5156.250000	-32.915207
5171.875000	-32.178085
5187.500000	-32.206104
5203.125000	-32.984882
5218.750000	-34.562325
5234.375000	-36.335831
5250.000000	-38.162491
5265.625000	-39.180573
5281.250000	-39.718163
5296.875000	-40.131458
5312.500000	-40.411579
5328.125000	-40.413483
5343.750000	-40.283134
5359.375000	-39.495430
5375.000000	-38.521236
5390.625000	-37.316223
5406.250000	-35.711563
5421.875000	-34.261105
5437.500000	-32.709812
5453.125000	-31.918097
5468.750000	-31.748535
5484.375000	-32.361534
5500.000000	-33.591175
5515.625000	-35.043442
5531.250000	-36.276978
5546.875000	-37.472664
5562.500000	-38.262188
5578.125000	-38.818787
5593.750000	-38.826630
5609.375000	-38.713997
5625.000000	-38.391018
5640.625000	-37.761894
5656.250000	-36.908623
5671.875000	-35.977272
5687.500000	-34.565052
5703.125000	-33.202377
5718.750000	-31.963823
5734.375000	-31.358505
5750.000000	-31.123117
5765.625000	-31.927433
5781.250000	-32.769787
5796.875000	-33.619755
5812.500000	-34.880024
5828.125000	-35.520210
5843.750000	-35.977783
5859.375000	-36.463909
5875.000000	-36.581188
5890.625000	-36.451916
5906.250000	-36.084835
5921.875000	-35.500996
5937.500000	-34.618431
5953.125000	-33.749142
5968.750000	-33.170849
5984.375000	-32.741112
6000.000000	-32.255749
6015.625000	-31.930079
6031.250000	-31.970726
6046.875000	-32.031574
6062.500000	-32.359848
6078.125000	-33.002594
6093.750000	-33.510986
6109.375000	-33.920940
6125.000000	-34.042023
6140.625000	-34.355659
6156.250000	-34.511150
6171.875000	-34.345058
6187.500000	-34.283165
6203.125000	-34.367214
6218.750000	-34.654991
6234.375000	-34.588711
6250.000000	-34.701374
6265.625000	-34.740128
6281.250000	-34.824478
6296.875000	-34.947510
6312.500000	-35.265205
6328.125000	-35.211716
6343.750000	-34.717510
6359.375000	-34.821957
6375.000000	-34.674896
6390.625000	-34.579674
6406.250000	-34.668282
6421.875000	-35.012566
6437.500000	-35.448799
6453.125000	-36.425011
6468.750000	-37.086708
6484.375000	-37.901451
6500.000000	-38.826939
6515.625000	-39.721352
6531.250000	-40.331791
6546.875000	-40.903522
6562.500000	-41.237988
6578.125000	-40.974251
6593.750000	-40.692959
6609.375000	-40.233078
6625.000000	-39.492416
6640.625000	-38.720379
6656.250000	-38.397091
6671.875000	-38.747185
6687.500000	-38.779457
6703.125000	-39.506561
6718.750000	-40.945717
6734.375000	-42.525341
6750.000000	-44.008461
6765.625000	-45.502869
6781.250000	-46.833900
6796.875000	-47.472424
6812.500000	-48.118763
6828.125000	-48.744549
6843.750000	-49.199623
6859.375000	-49.126904
6875.000000	-48.722744
6890.625000	-47.930428
6906.250000	-46.987644
6921.875000	-46.266273
6937.500000	-45.916019
6953.125000	-46.075027
6968.750000	-46.620724
6984.375000	-47.572823
7000.000000	-49.272152
7015.625000	-51.408882
7031.250000	-53.381126
7046.875000	-55.142735
7062.500000	-56.590939
7078.125000	-57.921757
7093.750000	-58.669037
7109.375000	-59.476181
7125.000000	-59.860317
7140.625000	-59.893105
7156.250000	-59.582153
7171.875000	-59.051590
7187.500000	-58.244137
7203.125000	-57.680023
7218.750000	-57.484615
7234.375000	-57.476227
7250.000000	-57.913300
7265.625000	-59.109215
7281.250000	-61.211258
7296.875000	-63.565151
7312.500000	-65.662575
7328.125000	-67.880440
7343.750000	-69.383102
7359.375000	-70.978226
7375.000000	-72.082359
7390.625000	-73.291924
7406.250000	-74.040749
7421.875000	-74.529648
7437.500000	-74.849937
7453.125000	-74.507278
7468.750000	-73.896355
7484.375000	-73.086761
7500.000000	-72.919838
7515.625000	-73.443085
7531.250000	-74.329636
7546.875000	-76.112968
7562.500000	-78.625183
7578.125000	-81.463867
7593.750000	-84.547470
7609.375000	-87.719154
7625.000000	-90.803833
7640.625000	-93.146660
7656.250000	-95.402069
7671.875000	-97.556671
7687.500000	-99.380676
7703.125000	-101.342995
7718.750000	-103.351936
7734.375000	-105.132553
7750.000000	-107.061485
7765.625000	-109.173256
7781.250000	-111.782692
7796.875000	-114.829224
7812.500000	-118.653603
7828.125000	-123.366890
7843.750000	-128.755310
7859.375000	-134.646957
7875.000000	-141.308365
7890.625000	-146.474197
7906.250000	-148.700470
7921.875000	-149.297012
7937.500000	-149.484497
7953.125000	-149.614090
7968.750000	-149.711243
7984.375000	-149.730988
