Frequency (Hz)	Level (dB)
2328.125000	-48.268711
2343.750000	-46.254482
2359.375000	-43.475418
2375.000000	-40.113094
2390.625000	-38.148586
2406.250000	-39.270340
2421.875000	-42.112957
2437.500000	-45.022354
2453.125000	-46.863789
2468.750000	-48.178303
2484.375000	-49.161732
2500.000000	-49.828693
2515.625000	-50.200153
2531.250000	-50.073296
2546.875000	-49.613670
2562.500000	-48.960419
2578.125000	-47.803993
2593.750000	-46.290321
2609.375000	-44.232204
2625.000000	-41.286304
2640.625000	-37.850506
2656.250000	-36.153522
2671.875000	-37.474625
2687.500000	-40.512951
2703.125000	-43.117790
2718.750000	-44.894543
2734.375000	-46.289047
2750.000000	-46.973827
2765.625000	-47.322975
2781.250000	-48.044300
2796.875000	-47.963383
2812.500000	-47.234585
2828.125000	-46.205482
2843.750000	-45.254742
2859.375000	-43.778294
2875.000000	-41.417946
2890.625000	-38.632721
2906.250000	-35.907352
2921.875000	-34.563900
2937.500000	-35.453262
2953.125000	-37.841000
2968.750000	-40.401730
2984.375000	-42.534389
3000.000000	-43.702087
3015.625000	-44.596619
3031.250000	-45.224850
3046.875000	-45.392254
3062.500000	-45.307144
3078.125000	-44.869080
3093.750000	-43.965267
3109.375000	-42.665985
3125.000000	-41.298050
3140.625000	-39.400856
3156.250000	-36.779533
3171.875000	-34.022087
3187.500000	-32.691124
3203.125000	-33.704823
3218.750000	-36.087189
3234.375000	-38.459480
3250.000000	-39.942703
3265.625000	-41.333221
3281.250000	-42.244049
3296.875000	-42.870026
3312.500000	-43.113052
3328.125000	-43.095024
3343.750000	-42.618874
3359.375000	-41.898266
3375.000000	-40.831196
3390.625000	-39.619644
3406.250000	-37.649944
3421.875000	-35.359428
3437.500000	-33.115063
3453.125000	-32.054173
3468.750000	-32.470451
3484.375000	-34.433636
3500.000000	-36.678497
3515.625000	-38.604458
3531.250000	-39.762939
3546.875000	-40.708935
3562.500000	-41.348942
3578.125000	-41.512054
3593.750000	-41.545074
3609.375000	-41.180019
3625.000000	-40.664722
3640.625000	-39.867561
3656.250000	-38.973118
3671.875000	-37.389774
3687.500000	-35.092350
3703.125000	-32.944599
3718.750000	-31.737789
3734.375000	-32.170609
3750.000000	-34.259594
3765.625000	-36.434715
3781.250000	-37.955826
3796.875000	-39.304779
3812.500000	-40.446636
3828.125000	-41.132915
3843.750000	-41.344803
3859.375000	-41.593338
3875.000000	-41.515125
3890.625000	-40.951271
3906.250000	-40.329647
3921.875000	-38.889084
3937.500000	-37.148876
3953.125000	-35.558601
3968.750000	-33.548447
3984.375000	-32.044022
4000.000000	-32.236115
4015.625000	-34.098457
4031.250000	-36.241600
4046.875000	-38.253910
4062.500000	-39.678810
4078.125000	-40.738964
4093.750000	-41.733536
4109.375000	-42.027210
4125.000000	-42.233761
4140.625000	-42.007370
4156.250000	-41.474884
4171.875000	-40.745213
4187.500000	-39.762688
4203.125000	-38.160095
4218.750000	-36.104099
4234.375000	-33.921501
4250.000000	-32.435993
4265.625000	-32.742764
4281.250000	-34.692047
4296.875000	-36.683441
4312.500000	-38.695393
4328.125000	-39.967861
4343.750000	-41.207031
4359.375000	-41.906487
4375.000000	-42.292191
4390.625000	-42.323723
4406.250000	-42.209217
4421.875000	-41.640373
4437.500000	-40.977501
4453.125000	-39.921738
4468.750000	-38.471493
4484.375000	-36.574017
4500.000000	-34.335331
4515.625000	-33.331043
4531.250000	-33.585957
4546.875000	-35.082855
